area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Super built-up  Area,19-Dec,2 BHK,Coomee ,1056,2,1,Alandi Road,39.07
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2600,5,3,Ambegaon Budruk,120
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,Anandnagar,62
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3,1,Aundh,95
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Aundh Road,51
Super built-up  Area,Ready To Move,2 BHK,DuenaTa,1170,2,1,Balaji Nagar,38
Super built-up  Area,18-May,4 BHK,Jaades ,2732,4,,Baner,204
Super built-up  Area,Ready To Move,4 BHK,Brway G,3300,4,,Baner road,600
Super built-up  Area,Ready To Move,3 BHK,,1310,3,1,Bhandarkar Road,63.25
Plot  Area,Ready To Move,6 Bedroom,,1020,6,,Bhavani Peth,370
Super built-up  Area,18-Feb,3 BHK,,1800,2,2,Bibvewadi,70
Plot  Area,Ready To Move,4 Bedroom,Prrry M,2785,5,3,Bopodi,295
Super built-up  Area,Ready To Move,2 BHK,Shncyes,1000,2,1,Budhwar Peth,38
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,Bund Garden Road,40
Plot  Area,Ready To Move,3 Bedroom,Skityer,2250,3,2,Camp,148
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1175,2,2,Chandan Nagar,73.5
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,3,2,Dapodi,48
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1540,3,3,Deccan Gymkhana,60
Super built-up  Area,Ready To Move,3 BHK,PeBayle,2770,4,2,Dehu Road,290
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,Dhankawadi,48
Built-up  Area,Ready To Move,1 BHK,,600,1,1,Dhayari Phata,15
Super built-up  Area,19-Dec,3 BHK,She 2rk,1755,3,1,Dhole Patil Road,122
Plot  Area,Ready To Move,4 Bedroom,Soitya ,2800,5,2,Erandwane,380
Super built-up  Area,Ready To Move,3 BHK,,1767,3,1,Fatima Nagar,103
Super built-up  Area,18-Nov,1 RK,Bhe 2ko,510,1,0,Fergusson College Road,25.25
Super built-up  Area,18-May,3 BHK,,1250,3,2,Ganesh Peth,56
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1,1,Ganeshkhind,23.1
Built-up  Area,20-Dec,3 BHK,,1610,3,2,Ghorpade Peth,81
Super built-up  Area,17-Oct,2 BHK,ViistLa,1151,2,2,other,48.77
Super built-up  Area,Ready To Move,3 BHK,KBityo ,1025,2,1,Gokhale Nagar,47
Super built-up  Area,19-Dec,4 BHK,LedorSa,2100 - 2850,4,0,Gultekdi,186
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Guruwar peth,35
Super built-up  Area,Ready To Move,3 BHK,Mahosya,1760,2,2,Hadapsar,123
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3,3,Hadapsar Industrial Estate,57.39
Built-up  Area,Ready To Move,3 BHK,Kantsce,1925,3,,Hingne Khurd,125
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2,1,Jangali Maharaj Road,36
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,Kalyani Nagar,45.5
Super built-up  Area,Ready To Move,3 BHK,Dieldli,1724,3,2,Karve Nagar,125
Super built-up  Area,Ready To Move,3 BHK,,1290,2,2,Karve Road,56.12
Built-up  Area,Ready To Move,2 BHK,,1143,2,2,Kasba Peth,45
Built-up  Area,Ready To Move,2 BHK,Gentson,1296,2,,Katraj,81
Super built-up  Area,19-Dec,3 BHK,Soini T,1254,3,2,Khadaki,38
Super built-up  Area,Ready To Move,1 BHK,Ceove G,600,1,0,Khadki,38
Plot  Area,Ready To Move,1 Bedroom,,660,1,0,Kharadi,48
Super built-up  Area,19-Sep,2 BHK,Soazak ,1330.74,2,2,Kondhwa,91.79
Plot  Area,Ready To Move,8 Bedroom,,600,9,,Kondhwa Budruk,200
Super built-up  Area,Ready To Move,2 BHK,LancyRe,970,2,0,Kondhwa Khurd,33
Super built-up  Area,20-Sep,2 BHK,Goted U,1459,2,1,Koregaon Park,94.82
Plot  Area,Ready To Move,2 Bedroom,,800,1,1,Kothrud,130
